id,Category,_Term,Description
74,Lexicon,Brotox,Showing up to EC and then bailing on ME
75,Lexicon,BTB,Short for Be The Bacon.
76,Lexicon,BUGGY WHIP SALESMAN,"A Mammon that technology has passed by, but for some reason (other than necessity) still persists."
77,Lexicon,BULLFROG,An Organization whose primary goal is Existential Continuity.
78,Lexicon,BULLWHIP,A not-so-obvious Skill possessed by a HIM. EG: Indian Jones’ ability to snap a bullwhip.
79,Lexicon,BUTT HURT,Taking offense at mere words or anything other than actual sticks and stones (the only things that truly break bones).
80,Lexicon,BUTTERBEAN,A PAX with an endomorphic body type.
81,Lexicon,BWS,Short for Bricks Without Straw.
82,Lexicon,C3,Centrally controlled collectivism.
83,Lexicon,CAMPOS,The Workout group in CNC from which F3 emerged.
84,Lexicon,CANC,To cancel an Event.
85,Lexicon,CANDOR,Graciously telling the hard truth and demanding to hear it from others. (Q3.8).
86,Lexicon,CANSECO,A Jackass who gracelessly tells a hard truth.
87,Lexicon,CANTORE,Refusing to let the weather report cancel a Workout.
88,Lexicon,CARRIER PIGEON,Delivering a Weinke to a Workout without Posting for it.
89,Lexicon,CARROTS,Incentives that reward Virtuous behavior.
90,Lexicon,Carsack,"When a PAX wakes up, dressed and walks out to the car to post...but is blocked in by visiting family"
91,Lexicon,CARTERICO,"A large area of land situated between military bases that the feds use to protect us (Cherry Point/Camp Lejeune) and a beautiful seashore that the feds stole from us (Cape Lookout). It includes such towns as Beaufort, Morehead City, Atlantic Beach and essentially stretches from Cedar Island to Cedar Point. Carterico is clannish. Foreigners are known as dit-dots and dingbatters. Carterico is proud of its lack of progress and generally skeptical of any idea that originates “West-a-Raleigh” (including F3). (West-a-Raleigh is an acceptable identifier for any Carterican and is used to define the entire rest of the United States). The same spirit that once led Cartericans to jump in row boats in January and kill whales with their bare hands can now be found in the gloom in Rotary Park."
92,Lexicon,CAT KICKER,A man’s last screw-up before he hits his bottom.
93,Lexicon,CAT NAP,"When you push a workout so hard that a member of the pax doesn't merlot, but instead has to lay down for the rest of the workout."
94,Lexicon,CBD,Short for Class-B Dependent.
95,Lexicon,CERVEZA SALUTE,"During a VQ, after the COT, a celebratory beer salute performed by the PAX by each Brother enjoying a cold one. (Usually Budweiser.)"
96,Lexicon,CF,Short for Charlie Foxtrot.
97,Lexicon,CHAMPAGNE MILLENNIAL:,A millennial born prior to 1985.
98,Lexicon,CHAOS,Uncontrollable circumstance.
99,Lexicon,CHARLIE FOXTROT,A snarled mess of conflict caused by failure to PD. Abbr: CF.
100,Lexicon,CHASER,The second fastest group at a Workout or CSAUP.
101,Lexicon,Cheechin',"The shameless, self-promotion on a PAX's own Q."
102,Lexicon,Chesters,Bear crawl position and hop off the ground and back down. Completely elevating your body and repeat in continuous motion in cadence by the Q
103,Lexicon,CHIPPENDALE,Posting shirtless to a Workout.
104,Lexicon,CIRCLE OF TRUST,"The terminating stage of each Workout, wherein the PAX form a circle and conduct Counterama, Namerama, Announcearama and the Ball Of Man. A Core Principle of F3Nation. Abbr"
105,Lexicon,CIRCUMSACK,Missing a Workout due to circumstances outside of one’s control.
106,Lexicon,CLASS-B DEPENDENT,"The woman a man loves and should marry, but is procrastinating into losing for good to a HIM willing to exude Commitment. Abbr: CBD"
107,Lexicon,Clearing the Mechanism,Action that a man should take prior to a workout to avoid pulling an Elvis or suffering from a TBQ.
108,Lexicon,CLOWN CAR,"Three or more PAX riding together to a Workout, typically outside of their usual AO. Often done in a Yaris for comic relief."
109,Lexicon,CLUB,A loose combination of people seeking companionship.
110,Lexicon,Clusterfreeze,Name for a beatdown in which the number of PAX posting exceeds the degrees Fahrenheit.
111,Lexicon,Clusterfruck,Similar to a Clusterfreeze. Refers to a group ruck in which the number of PAX present is more than the ambient degrees Fahrenheit
112,Lexicon,CLUSTERQ,"An abomination of a Q that elevates the self-confidence of all other PAX in attendance, thereby convincing PAX on the fence that they couldn’t possibly do worse than THAT guy, leading to an influx in Q signups."
113,Lexicon,CLYDESDALE,"A Pax that tends toward the Meso- or Endomorphic body types, whose body weight exceeds the 200lb mark. A very tall ectomorph only sort of counts... Generally the opposite of the Shivering Whippet."
114,Lexicon,CNC,"Charlotte, North Carolina. Where F3 was born in 2011. The shining city on the hill, The new Jerusalem. A place worth defending from Goo Nation."
115,Lexicon,COA,Short for Course Of Action.
116,Lexicon,COAT HOLDER,A man who tolerates the lack of Virtue among the Leaders in his Community.
117,Lexicon,Coat tailing,A PAX's Inability/unwillingness to count reps so just waits for a batflipper to move to the next exercise then does two more reps before moving on.
118,Lexicon,COBAINS,An insincere F3-style apology for something one is not really all that sorry about. EG: apologizing to a Kimono dislodged from his Fart Sack by excessive Zeal.
119,Lexicon,COFFEETERIA,"Post-Workout gathering of the PAX for mutual mockery, lying and coffee-drinking."
120,Lexicon,COGNITIVE PURPOSE DISPARITY,An Organization with an unrecognized conflict between its Articulated Purpose and its Actual Purpose.
121,Lexicon,COLAM,"Concentric expansion method, by which a Region plants Nomads outside of its boundaries but within 100 miles."
122,Lexicon,COLLISION LEARNING,"Wisdom gained through Failure, Adversity and Argument."
123,Lexicon,COMFORT,"A state of physical ease and freedom from pain, constraint or challenge. The watchword of the Kimono."
124,Lexicon,COMFORT ZONE,A cultural myth of Goo Nation that encourages people to be in-Effective.
125,Lexicon,COMMITMENT,Unwavering loyalty to the Group and unflinching determination to accomplish its Mission. (Q3.9).
126,Lexicon,COMMUNITY,Two or more people who voluntarily live in close Proximity.
127,Lexicon,COMPETENCE,The ability to perform Mission-essential Tasks.
128,Lexicon,COMPETITION,The healthy process of pitting oneself against another man in an objectively measurable endeavor.
129,Lexicon,COMPLETELY STUPID AND UTTERLY POINTLESS,"Difficult, dirty and dangerous Events that build Trust between Team Members. Abbr: CSAUP."
130,Lexicon,COMZ,The Q’s Commitment to Accelerating the quality of communication within his Group.
131,Lexicon,CONCENTRICA,The circular rings formed by a man’s most Proximate relationships.
132,Lexicon,CONCURRENCE,"One, usually themed, workout performed across multiple AOs within a Region at the same time."
133,Lexicon,CONDITION,A dis-Advantage that cannot be remedied.
134,Lexicon,CONFINEMENT,The efforts made by the Governance of an Organization to maintain a perceived status-quo through the restraint of its Advantage-seeking Members.
135,Lexicon,CONSEQUENCE,The result of the Enforcement of a Standard.
136,Lexicon,CONSISTENCY,"Unchanging in nature, Standard or effect over time. (Q3.10)."
137,Lexicon,CONTENTMENT,Stability of emotion engendered by the consistent pursuit of Joy rather than Happiness. (Q3.11).
138,Lexicon,CONTROL,The perceived power to dictate people’s behavior or the course of Events.
139,Lexicon,CONUS,The continental United States. Sea to shining sea. The lower 48.
140,Lexicon,CONVERGENCE,A gathering of two or more Groups for a specific Event.
141,Lexicon,COOP STRONG,Infectious strength of spirit and manifestation of Perseverance.
142,Lexicon,CORE PRINCIPLES,"F3’s Guardrails. Every Workout must be:

1. Free of charge
2. Open to all men
3. Held outdoors, rain or shine, heat or cold
4. Led by men who participate in the workout in a rotating fashion, with no training or certification necessary
5. End with a Circle of Trust"
143,Lexicon,CORRECTION,Zealously advocating for Shared Virtue. (Q2.6).
144,Lexicon,CORRECTOR,A HIM willing and able to provide Correction and take responsibility for the Outcome.
145,Lexicon,COT,Short for Circle Of Trust.
146,Lexicon,COUNTERAMA,Counting off the PAX in the COT to get the total number for the Workout.
147,Lexicon,Coupon,A weighty item utilized by the PAX as a burden in physical exercise. Most commonly a cinder block.
148,Lexicon,COURAGE,Setting aside fear to turn hardship into grace. (Q3.12).
149,Lexicon,COURSE OF ACTION,A planned Movement to solve a Problem or achieve an Outcome. Abbr: COA.
150,Lexicon,COUSIN EDDIE,A PAX from another Region who Posts without warning.
151,Lexicon,CREATOR,The Sky-Q.
152,Lexicon,CREDO,A concise Statement of beliefs that guides a HIM or inspires a Group’s Members into Sua Sponte Movement.
153,Lexicon,CRICKETS,A silent collective non-response to an intellectual or physical challenge.
154,Lexicon,CRUCIBLE,A finite set of trying circumstances that increase Perseverance through Adversity.
155,Lexicon,CSAUP,Short for Completely Stupid And Utterly Pointless.
156,Lexicon,CUIDADO,"An F3 Exhortation to be careful, danger this way cometh."
157,Lexicon,CUTTING THE HAM,Teaching and re-teaching processes and methods based on outdated or bad information that was taught to you. Accepting as truth a wrong way to do things simply because “that’s the way we’ve always done it”. AKA: Whiskey D*cking.
158,Lexicon,D1,A PAX who played a Division I college sport — even soccer. Highly valued within a SL for their sense of Teamwork and high pain tolerance.
159,Lexicon,D2X,The Task formed by the intersection of a person’s Dolphin and their Daffodil.
160,Lexicon,D3T,Short for Dirty Dangerous Difficult Things.
161,Lexicon,DAFFODIL,The people-group each person was born to Serve.
162,Lexicon,DAILY RED PILL,"The Q’s daily Commitment to Accelerate his Fitness, Fellowship and Faith. Abbr: DRP"
163,Lexicon,DANCING IDIOT,The HIM who initiates a Movement by Influencing a First Follower.
164,Lexicon,DASH,"Winston-Salem, NC. A recently rejuvenated beacon of commerce."
165,Lexicon,DATE AND TIME GROUP,"The date, time and location of an Event. Abbr: DTG."
166,Lexicon,DDM,Short for Double Digit Midget.
167,Lexicon,DE OPPRESSO LIBER,To free the oppressed. Abbr: DOL.
168,Lexicon,DEAD DINOSAURS,Any carbon-based fuel source.
169,Lexicon,DECELERATE,To decrease the pace of Movement.
170,Lexicon,DECK CHAIR,A minor Disadvantage that causes Friction but does not threaten Effectiveness.
171,Lexicon,Deep Down Sad Clown (DDSC),"The second wave of Sad Clown Syndrome. This afflicts a man who has been posting to workouts, but has yet to be “all in”. Often he fools himself into thinking he is “fine”, but he hasn’t truly had a mighty change of heart. He still holds much back and has not moved to the #Servant end of the Sur-Ser Continuum."
172,Lexicon,DEINKE,"Digital weinke, often from a mobile device. (See Weinke)"
173,Lexicon,DELEGATION,The Q’s entrustment the performance of a Task to a Team Member
174,Lexicon,Delete me MARTHA,"A Pax that refuses to accept the F3 name given to him. (Usage-""Brian doesn't want to post again, he is being a Martha"")"
175,Lexicon,DELIBERATUDE,"To think, speak and act with a deliberate attitude that exudes Commitment."
176,Lexicon,DERBY (THE),The practice of forming a Ball of Man at the beginning of a COT in order to engender feelings of comfort and acceptance between the Pax with the purpose of creating an environment of increased vulnerability and sharing.
177,Lexicon,DESIGNATE MAIN EFFORT,The designation by the Q of the Main Effort in order to maximize IMPACT. Abbr: DME
178,Lexicon,DIAPER CHANGER,A Task that must be done but is not within anyone’s D2X.
179,Lexicon,DIRTY DANGEROUS DIFFICULT THINGS,Events that forge bonds between men. (See also: CSAUP)
180,Lexicon,DISADVANTAGE,"An inferior circumstance caused by nature, un-Virtuous Leadership or Inertia."
181,Lexicon,DISRUPTER,A Leader who is a powerful Influencer of Movement toward Group Advantage.
182,Lexicon,DISRUPTION,Disturbance to the Status Quo. (F1).
183,Lexicon,Ditching,Leading PAX in an exercise not found in the Exicon
184,Lexicon,DL,Short for Disabled List. When a PAX member desperately wants to come to the workouts but is physically unable to do so due to injury or illness.
185,Lexicon,DME,Short for Designate Main Effort.
186,Lexicon,DO,Short for Drive On.
187,Lexicon,DOL,Short for De Opresso Liber.
188,Lexicon,DOLPHIN,The Task a person was born to do best.
189,Lexicon,DOUBLE DIGIT MIDGET,A Workout (or other Event) at which 10 or more PAX Post. Abbr: DDM.
190,Lexicon,DOUBLE DOWN,The back-to-back performance of two Workouts or CSAUPs.
191,Lexicon,DOWN DOWN,An aspect of Service that requires the making of a local down payment to have Down Range Impact.
192,Lexicon,DOWN RANGE,Out of town and unavailable to participate in a Workout or other Event. Abbr: DR.
193,Lexicon,DOWN RANGE MISSION,An OCONUS Service trip. Abbr: DRM.
194,Lexicon,DOWN RANGE WORKOUT,An OTB conducted DR with two or more PAX. Abbr: DRW.
195,Lexicon,DOWNPAINMENT,The daily physical price required to increase one’s Fitness.
196,Lexicon,DR,Short for Down Range.
197,Lexicon,DRAG,The external circumstances of a Q’s life that hinder Missionality.
198,Lexicon,DRIPPER,A HIM adept at diplomatic Persuasion of difficult people.
199,Lexicon,DRIVE BY FARTSACKING,"When a Pax who didn't post for the beatdown drives up to the Pax who did and begins chatting them up, mid-workout, whilst enjoying the A/C in his car."
200,Lexicon,DRIVE ON,The determination to maintain Momentum through Obstacles. Abbr: DO.
201,Lexicon,DRIVE-BY’s-SHORTS,Workout shorts too small to conceal one’s scrotum.
202,Lexicon,DRM,Short for Down Range Mission.
203,Lexicon,DRP,Short for the Daily Red Pill. (Q1.2).
204,Lexicon,DRW,Short for Down Range Workout.
205,Lexicon,DSG,Short for Dynamic Shame Goading.
206,Lexicon,DTG,Short for Date And Time Group.
207,Lexicon,DUMPTY,A man so overcome by his Jester that putting his life back together requires something beyond the reach of the King (or all of his horses and men).
208,Lexicon,DURABILITY,The state of physical and emotional toughness that is fostered through deliberate exposure to Hardship and Chaos.
209,Lexicon,DUSTY,"An injury sustained during a BeatDown, or less heroically (as those of us in the 3rd 500 of life know) because we slept on it wrong. Inspired by often injured NHL hockey player Dustin Penner who famously & laughingly threw his back out while eating pancakes at the breakfast table with his wife. Ironic Adjunct: he ended up being traded to another team for a 4th round pick… on National Pancake Day."
210,Lexicon,DUTCH BAZOOKA,"A workout or routine that hits you in ""the Netherlands"" (i.e., any odd muscle group)"
211,Lexicon,DYNAMIC,"Something that is energetic, vigorously active and forceful."
212,Lexicon,DYNAMIC EQUILIBRIUM,Relational stability within the Concentrica.
213,Lexicon,DYNAMIC SHAME GOADING,Correction through forceful inducement of Shame. Abbr: DSG
214,Lexicon,EDM,EDM- short for Emotional Direct Message.
215,Lexicon,EFFECTIVE LEADER,A person who can Competently apply the Leadership Skills.
216,Lexicon,EFFECTIVENESS,The degree to which a person or Group is Purposeful.
217,Lexicon,EG,Abbreviation for “for example”.
218,Lexicon,EH,Short for Emotional Headlock.
219,Lexicon,ELDER,A PAX with some gray in his beard.
220,Lexicon,"ELVIS (as in, to pull one)",Leaving a Workout in progress to find a place to knock out the business a man is supposed to knock out prior to Startex.
221,Lexicon,ELVIS CAPE,"Napkin, Paper Towel, a hat, a sock, or any other implement taken to the woods in order to assist the Pax pulling an Elvis."
222,Lexicon,EMOTIONAL,Something notional as opposed to actual. Usually followed by something actual as opposed to notional. EG: the Emotional Headlock.
223,Lexicon,EMOTIONAL DIRECT MESSAGE,"A phenomenon that occasionally occurs when the PAX MC turns to personal attacks (aka busting chops). Afterward, the PAX who experienced butt hurts then reaches out to the offender with an emotional text or dm to continue and follow up on the offensive MC."
224,Lexicon,EMOTIONAL FATPANTS,A crutch retained against future backsliding.
225,Lexicon,EMOTIONAL HEADLOCK,The method by which most FNGs are recruited into F3. Abbr: EH.
226,Lexicon,EMOTIONAL TAINT-KICK,A strong remonstration against Knox Rolling and a Spur to fight inertia. Abbr: ETK.
227,Lexicon,EMOTIONALLY ERECT,"A state of heightened awareness the Q achieves in order to optimize all-around performance during a Workout, CSAUP or any other Event requiring Zeal. A form of Deliberatude."
228,Lexicon,ENDEX,"The terminating time and place of any Workout, CSAUP or other Event. The opposite of Startex."
229,Lexicon,ENFORCEMENT,An external force that applies a Standard.
230,Lexicon,ENGAGE YOUR CORE,Tucking of the Six to neutral to maintain proper form and avoid injury. Abbr: EYC.
231,Lexicon,EPSTEIN’S MOTHER,"A half-baked excuse for not Posting delivered in advance of the Workout to avoid accusations of Fart Sacking. More generally, any excuse for Knox Rolling."
232,Lexicon,EQUIPPING,Matching a Team’s Member’s Skills to its Mission. (Q4.7).
233,Lexicon,EQV,Short for Esse Quam Videri.
234,Lexicon,ESSE QUAM VIDERI,To be rather than seem—the result of disciplined DRP and the essence of the HIM. Abbr: EQV.
235,Lexicon,ESSENTIAL,A standard of moral excellence that cannot be compromised.
236,Lexicon,ET In's,Pigeon toe calf raises on stairs or steps
237,Lexicon,ET Outs,Duck toe calf raises on stairs or steps
238,Lexicon,ETHICS,A set of moral principles related to a specified Group.
239,Lexicon,ETK,Short for Emotional Taint-kick.
240,Lexicon,EVENT,"Something that occurs, whether planned or not."
241,Lexicon,EVENT-Q,The Q directly responsible for the Outcome of a designated Event.
242,Lexicon,EXCUSE BAG,The Emotional bag of those things proffered to justify Knox Rolling.
243,Lexicon,EXERCISE,Something done during a Workout to increase 3S2T.
244,Lexicon,EXHORTATION,Incentivizing the breach of Obstacles. (Q3.11)
245,Lexicon,EXICON,F3’s Exercise Lexicon.
246,Lexicon,EXISTENTIAL CONTINUITY,The absence of a Purpose other than to be.
247,Lexicon,EXPLANATION,The reason why F3 is the Solution to the Problem.
248,Lexicon,EYC,Short for Engage Your Core.
249,Lexicon,F-3TENTION,"Coffeeteria Retention Rate; the percentage of PAX that stay after a workout to participate in PLC.  Most often used as a hashtag when reporting daily coffeeteria counts via the Twitters, because #2ndFcountstoo."
250,Lexicon,F3,Fitness Fellowship and Faith.
251,Lexicon,F3 LDP,F3’s four-phase Leadership Development Process:1. Schooling2. Apprenticeship3. Opportunity4. Failure
252,Lexicon,F3 LEXICON,F3’s particularized language of leadership.
253,Lexicon,F3 MISSION,"To Plant, Serve and Grow men’s small Workout groups in order to reinvigorate Male Community Leadership."
254,Lexicon,F3 NAME,"What the Q names an FNG after his first Workout, and what he shall be known as for ever more."
255,Lexicon,F3 NATION,The PAX who comprise the entire Organization known as F3. Abbr: F3N.
256,Lexicon,F3 ROYALTY,A facetious honorarium bestowed to reinforce IM3. Abbr: F3R.
257,Lexicon,F3 YEOMAN,A member of the non-existent F3 Royalty who gives it for the PAX. Abbr: F3Y.
258,Lexicon,F3C,"Short for F3Connect, a search for an F3 Brother with special expertise, knowledge or need."
259,Lexicon,F3llers,"Your fellow F3 PAX, usually the ones you know better from your home AO."
260,Lexicon,F3N,Short for F3 Nation.
261,Lexicon,F3R,Short for F3 Royalty.
262,Lexicon,F3Y,Short for F3 Yeoman.
263,Lexicon,FAILURE,An undesirable Outcome that builds the Leadership Foundation. (Q4.5).
264,Lexicon,FAITH,A man’s Right relationship with his Creator.
265,Lexicon,FALSE ENTHUSIASM AND BULLCRAP ATTITUDE,Fake Zeal expressed to raise spirits when fatigue has set in during a Workout or other Event. Abbr: FEBA.
266,Lexicon,FARTSACK,Bed.
267,Lexicon,FARTSACKING,Staying in bed instead of Posting.
268,Lexicon,FAST PAY,"Giving up all you have for your Brother, before he asks for it."
269,Lexicon,FASTHOLE(S),"A term commonly used, in Jacksonville, for the elite group of Pax that can run faster than the rest of us."
270,Lexicon,FAT TED,A Mascot who seeks Legacy.
271,Lexicon,FAT UNDER PECTORAL AREA,The thickest part of a man’s torso between his waistline and his chest. What a man measures to provide Accountability to his Queen. Abbr: FUPA.
272,Lexicon,FATHERTIME,"That PAX who swears he can read the Q’s watch from up to 20 yards away. “This 7 minute AMRAP has to be over by now.” “Probably should head back for Mary to be safe.” “This has to be the last Mary exercise, I’m sure it’s 6:00 now."""
273,Lexicon,FATPANTS,The 40-inch pleated kakis a man keeps in the back of his closet as insurance against the loss of control over his FUPA.
274,Lexicon,FBA,"Short for Freakin’ BadASS (emphasis on second syllable): any thing, man or circumstance that is all that and a chicken hat."
275,Lexicon,FBE,Short for Follow By Example.
276,Lexicon,FEBA,Short for False Enthusiasm and Bullcrap Attitude.
277,Lexicon,FELLOWSHIP,A man’s Right relationship with those in Proximity.
278,Lexicon,FERN,"The potted plant next to the elliptical trainer to which a Sad Clown talks during his solo gym workout. Also generally, a pay-to-play gym."
279,Lexicon,FIA,Females In Action.
280,Lexicon,FIA’d,A PAX who fails to Post in accomodation of his M’s FiA schedule.
281,Lexicon,FIRST BELL,That which rings in the Super Unknown when a Sad Clown makes his FNG Post.
282,Lexicon,FIRST ESTATE,The clergy. Abbr: 1E.
283,Lexicon,FIRST F,Fitness. AKA: 1F.
284,Lexicon,FIRST FOLLOWER,The first man to join a Movement initiated by a Dancing Idiot.
285,Lexicon,FISHER OF MEN,A HIM dedicated to Leadership development. Abbr: FOM.
286,Lexicon,FITNESS,A man’s Right relationship with himself.
287,Lexicon,FKA,Short for Formerly Known As.
288,Lexicon,FLAMING CROPDUSTER,"When the Q calls an exercise that’s so hard, one or more Pax decides to leave the workout and go home."
289,Lexicon,FLESH ANCHOR,The Member of the Team who moves at the slowest pace.
290,Lexicon,FLUX,The emotional reaction to the peaks and valleys that appear throughout a man’s life.
291,Lexicon,FLY,An exuberant display of the American and/or F3 Flag.
292,Lexicon,FMG,Short for Frank Martin Gangsta.
293,Lexicon,FNG,Short for Friendly New Guy.
294,Lexicon,FO3,Short for Friend Of Three.
295,Lexicon,FOCUS ON FORM,Ensuring the proper execution of an Exercise. Abbr: FOF.
296,Lexicon,FOF,Short for Focus On Form.
297,Lexicon,FOG OF WAR,The confusion that surrounds and frustrates the performance of a Mission. AKA: Friction.
298,Lexicon,FOGAREA,New England.
299,Lexicon,FOLLOW BY EXAMPLE,A HIM’s demonstration of Leadership by willingly following directions when not the Q.
300,Lexicon,FOM,Short for Fisher Of Men.
301,Lexicon,FOREPLAY,"Any pre-workout work.  Run, ruck, etc."
302,Lexicon,FORMERLY KNOWN AS,Something or someone that used to be known by a different name. Abbr: FKA.
303,Lexicon,FOUNDATION,"A HIM/Group’s Mission, Credo and Guardrails."
304,Lexicon,FOURTH ESTATE,The media. Abbr: 4E.
305,Lexicon,FREED TO LEAD,The F3 bible (of sorts). Order your copy today!! Abbr: FTL.
306,Lexicon,FRICTION,Loss of Momentum due to excessive complexity and lack of PD. AKA: Fog of War.
